T1,T2,T3,FAR,FRR,EER
0.100,0.020,4,2.51,52.22,27.37
0.100,0.120,41,8.20,50.89,29.54
0.100,0.220,95,17.22,53.78,35.50
0.100,0.320,165,15.38,64.44,39.91
0.100,0.420,220,19.16,68.44,43.80
0.100,0.520,259,26.18,66.67,46.42
0.100,0.620,308,21.36,74.44,47.90
0.100,0.720,348,18.13,80.67,49.40
0.100,0.820,482,0.36,99.11,49.73
0.100,0.920,164,99.02,0.44,49.73
0.100,1.020,198,98.62,0.67,49.64
0.100,1.120,199,99.02,0.22,49.62
0.100,1.220,210,99.00,0.44,49.72
0.100,1.320,228,98.93,0.44,49.69
0.100,1.420,237,98.98,0.44,49.71
0.200,0.020,0,4.71,48.44,26.58
0.200,0.120,60,9.38,49.56,29.47
0.200,0.220,131,27.22,47.56,37.39
0.200,0.320,241,13.11,68.44,40.78
0.200,0.420,288,27.07,61.11,44.09
0.200,0.520,360,18.07,75.11,46.59
0.200,0.620,385,28.09,68.89,48.49
0.200,0.720,493,2.33,96.22,49.28
0.200,0.820,231,98.87,0.22,49.54
0.200,0.920,285,98.04,0.89,49.47
0.200,1.020,288,98.56,0.22,49.39
0.200,1.120,298,98.73,0.22,49.48
0.200,1.220,319,98.69,0.22,49.46
0.200,1.320,314,98.89,0.22,49.56
0.200,1.420,298,99.29,0.00,49.64
0.300,0.020,5,5.20,48.22,26.71
0.300,0.120,73,11.84,48.89,30.37
0.300,0.220,189,11.87,61.33,36.60
0.300,0.320,273,19.49,62.89,41.19
0.300,0.420,352,17.44,70.44,43.94
0.300,0.520,403,19.84,72.44,46.14
0.300,0.620,431,27.56,68.00,47.78
0.300,0.720,537,1.82,96.22,49.02
0.300,0.820,310,97.93,0.44,49.19
0.300,0.920,330,98.20,0.44,49.32
0.300,1.020,351,98.04,0.44,49.24
0.300,1.120,356,98.40,0.44,49.42
0.300,1.220,332,98.91,0.22,49.57
0.300,1.320,374,98.60,0.67,49.63
0.300,1.420,361,99.00,0.22,49.61
0.400,0.020,5,6.40,46.00,26.20
0.400,0.120,86,11.78,47.11,29.44
0.400,0.220,209,15.78,59.78,37.78
0.400,0.320,295,25.84,56.22,41.03
0.400,0.420,371,24.80,62.22,43.51
0.400,0.520,444,13.33,78.00,45.67
0.400,0.620,452,31.51,62.22,46.87
0.400,0.720,483,30.62,64.22,47.42
0.400,0.820,517,24.00,71.33,47.67
0.400,0.920,508,46.31,49.11,47.71
0.400,1.020,523,47.42,48.00,47.71
0.400,1.120,523,57.64,37.33,47.49
0.400,1.220,546,50.31,44.44,47.38
0.400,1.320,582,31.51,62.44,46.98
0.400,1.420,594,30.69,63.11,46.90
0.500,0.020,2,9.33,43.11,26.22
0.500,0.120,90,18.36,42.67,30.51
0.500,0.220,218,24.02,51.78,37.90
0.500,0.320,334,17.18,64.00,40.59
0.500,0.420,383,32.29,54.89,43.59
0.500,0.520,431,33.31,55.78,44.54
0.500,0.620,461,38.20,52.22,45.21
0.500,0.720,489,39.20,51.56,45.38
0.500,0.820,513,38.89,52.89,45.89
0.500,0.920,521,46.20,42.67,44.43
0.500,1.020,539,44.76,44.00,44.38
0.500,1.120,562,37.60,51.33,44.47
0.500,1.220,575,37.20,49.78,43.49
0.500,1.320,567,50.93,36.44,43.69
0.500,1.420,585,44.47,42.44,43.46
0.600,0.020,0,10.62,42.44,26.53
0.600,0.120,101,18.02,42.89,30.46
0.600,0.220,247,17.49,57.56,37.52
0.600,0.320,350,18.62,62.00,40.31
0.600,0.420,403,29.84,56.00,42.92
0.600,0.520,449,31.89,55.78,43.83
0.600,0.620,476,36.93,51.33,44.13
0.600,0.720,507,34.53,53.33,43.93
0.600,0.820,509,49.09,39.11,44.10
0.600,0.920,539,40.51,45.56,43.03
0.600,1.020,561,34.82,50.00,42.41
0.600,1.120,552,52.64,33.11,42.88
0.600,1.220,580,39.84,44.44,42.14
0.600,1.320,576,50.38,34.00,42.19
0.600,1.420,584,51.64,33.11,42.38
0.700,0.020,6,8.33,44.67,26.50
0.700,0.120,120,11.31,50.44,30.88
0.700,0.220,267,15.47,59.33,37.40
0.700,0.320,376,12.22,68.22,40.22
0.700,0.420,416,29.51,54.44,41.98
0.700,0.520,465,28.51,57.11,42.81
0.700,0.620,476,44.04,40.00,42.02
0.700,0.720,505,42.38,42.67,42.52
0.700,0.820,529,39.36,43.33,41.34
0.700,0.920,527,54.29,27.56,40.92
0.700,1.020,553,46.11,36.22,41.17
0.700,1.120,570,43.69,36.89,40.29
0.700,1.220,574,49.09,30.44,39.77
0.700,1.320,595,41.67,38.67,40.17
0.700,1.420,594,48.51,32.00,40.26
0.800,0.020,6,9.36,44.22,26.79
0.800,0.120,131,10.58,51.33,30.96
0.800,0.220,278,16.87,58.44,37.66
0.800,0.320,374,20.78,59.11,39.94
0.800,0.420,424,32.16,50.44,41.30
0.800,0.520,465,35.04,48.44,41.74
0.800,0.620,490,40.20,42.67,41.43
0.800,0.720,515,40.38,40.00,40.19
0.800,0.820,532,42.62,35.33,38.98
0.800,0.920,539,50.11,28.00,39.06
0.800,1.020,563,43.33,34.44,38.89
0.800,1.120,575,44.73,34.00,39.37
0.800,1.220,582,47.53,29.56,38.54
0.800,1.320,602,41.13,36.89,39.01
0.800,1.420,605,45.04,32.22,38.63
0.900,0.020,6,10.40,43.33,26.87
0.900,0.120,133,14.96,47.78,31.37
0.900,0.220,285,19.53,55.33,37.43
0.900,0.320,385,20.42,58.89,39.66
0.900,0.420,429,35.67,45.33,40.50
0.900,0.520,461,43.51,37.11,40.31
0.900,0.620,490,45.33,35.78,40.56
0.900,0.720,518,42.89,36.44,39.67
0.900,0.820,540,42.51,35.11,38.81
0.900,0.920,546,50.09,26.00,38.04
0.900,1.020,576,40.04,36.44,38.24
0.900,1.120,580,45.80,30.44,38.12
0.900,1.220,591,45.53,29.56,37.54
0.900,1.320,599,47.44,28.89,38.17
0.900,1.420,602,50.96,25.11,38.03
1.000,0.020,9,6.16,47.56,26.86
1.000,0.120,150,10.02,55.33,32.68
1.000,0.220,293,21.36,54.67,38.01
1.000,0.320,397,18.53,60.89,39.71
1.000,0.420,443,31.20,49.56,40.38
1.000,0.520,476,38.18,42.00,40.09
1.000,0.620,498,43.91,34.67,39.29
1.000,0.720,532,37.33,40.22,38.78
1.000,0.820,542,44.64,31.33,37.99
1.000,0.920,553,49.00,25.78,37.39
1.000,1.020,578,42.62,33.56,38.09
1.000,1.120,584,47.31,27.78,37.54
1.000,1.220,593,48.71,26.44,37.58
1.000,1.320,611,44.29,30.67,37.48
1.000,1.420,616,46.47,28.00,37.23
1.100,0.020,9,6.67,47.11,26.89
1.100,0.120,161,8.89,56.67,32.78
1.100,0.220,304,20.51,55.11,37.81
1.100,0.320,392,27.84,52.22,40.03
1.100,0.420,439,38.96,41.33,40.14
1.100,0.520,487,35.07,44.44,39.76
1.100,0.620,517,34.96,44.00,39.48
1.100,0.720,536,38.87,36.89,37.88
1.100,0.820,552,42.24,32.44,37.34
1.100,0.920,568,42.96,31.78,37.37
1.100,1.020,585,41.47,33.33,37.40
1.100,1.120,594,44.44,30.22,37.33
1.100,1.220,598,49.53,25.11,37.32
1.100,1.320,616,45.13,28.89,37.01
1.100,1.420,615,50.78,24.00,37.39
1.200,0.020,9,7.18,46.67,26.92
1.200,0.120,167,9.18,56.22,32.70
1.200,0.220,306,24.84,50.89,37.87
1.200,0.320,406,23.36,56.44,39.90
1.200,0.420,444,40.04,38.67,39.36
1.200,0.520,496,32.87,46.00,39.43
1.200,0.620,526,33.18,43.78,38.48
1.200,0.720,540,40.20,35.33,37.77
1.200,0.820,556,43.49,30.22,36.86
1.200,0.920,563,50.98,23.56,37.27
1.200,1.020,592,41.73,32.89,37.31
1.200,1.120,601,44.13,29.56,36.84
1.200,1.220,605,49.24,24.44,36.84
1.200,1.320,621,45.49,27.11,36.30
1.200,1.420,619,52.04,23.11,37.58
1.300,0.020,10,6.40,48.00,27.20
1.300,0.120,169,11.36,54.00,32.68
1.300,0.220,316,23.51,51.56,37.53
1.300,0.320,407,27.64,51.56,39.60
1.300,0.420,464,30.71,47.56,39.13
1.300,0.520,497,36.27,42.22,39.24
1.300,0.620,523,39.16,36.89,38.02
1.300,0.720,545,41.22,34.89,38.06
1.300,0.820,564,42.36,32.22,37.29
1.300,0.920,581,42.53,32.00,37.27
1.300,1.020,595,43.13,32.00,37.57
1.300,1.120,597,50.58,23.56,37.07
1.300,1.220,619,43.80,29.78,36.79
1.300,1.320,626,45.82,27.56,36.69
1.300,1.420,631,48.51,25.78,37.14
